FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.0407,2013-09-04,-0.1034,4,9,0.0797,48.8158,0.00066,0.0000,-0.0747,152,1.1623,1.0894,0.0042,0.0476,1993-02-01,0.0378,0.0138,7.3827,0.5461,20.5886,
last_12mon,0.4055,2013-09-04,-0.0023,1,4,0.0089,40.8333,0.00319,0.0000,-0.0023,6,9.2875,1.0193,0.0009,0.8946,1993-02-01,0.0019,0.0036,0.2914,0.8333,20.5886,
mon03,0.0839,2013-09-04,-0.0219,2,6,0.0155,443.0000,0.00242,0.0000,-0.0142,14,2.0243,1.0339,0.0018,0.2829,1993-02-01,0.0075,0.0086,0.6800,0.6429,20.5886,
mon02,-0.0090,2013-09-04,-0.0463,2,5,0.0206,563.1818,-0.00050,0.0000,-0.0463,11,0.9115,0.9930,-0.0004,-0.0303,1993-02-01,0.0133,0.0166,0.5343,0.6364,20.5886,
mon01,0.0204,2013-09-04,-0.0047,2.0000,3,0.0085,394.1538,0.00013,0.0000,-0.0046,13,1.0874,1.0016,0.0001,0.0347,1993-02-01,0.0033,0.0038,0.6314,0.5385,20.5886,
mon07,-0.0403,2013-09-04,-0.0698,3,2,0.0203,463.9091,-0.00411,0.0000,-0.0318,11,0.4589,0.9547,-0.0028,-0.2977,1993-02-01,0.0113,0.0138,0.5343,0.4545,20.5886,
mon06,-0.0019,2013-09-04,-0.0502,4,4,0.0216,384.2632,-0.00007,0.0000,-0.0160,19,0.9775,0.9980,-0.0001,-0.0082,1993-02-01,0.0081,0.0084,0.9228,0.4737,20.5886,
mon05,0.3287,2013-09-04,-0.0120,2,6,0.0188,477.6154,0.00591,0.0000,-0.0084,13,4.3903,1.0791,0.0040,0.6656,1993-02-01,0.0073,0.0089,0.6314,0.6923,20.5886,
mon04,-0.0170,2013-09-04,-0.0333,2.0000,1,0.0169,610.1667,-0.00090,0.0000,-0.0240,12,0.7855,0.9886,-0.0006,-0.0901,1993-02-01,0.0077,0.0100,0.5828,0.4167,20.5886,
mon09,0.0584,2013-09-04,-0.0158,3,2,0.0142,548.3333,0.00147,0.0000,-0.0118,12,1.4736,1.0173,0.0009,0.1682,1993-02-01,0.0070,0.0087,0.5828,0.5000,20.5886,
mon08,-0.0462,2013-09-04,-0.0973,3,2.0000,0.0156,465.8182,-0.00728,0.0000,-0.0747,11,0.3420,0.9198,-0.0045,-0.3052,1993-02-01,0.0184,0.0238,0.5343,0.3636,20.5886,
long,0.0407,2013-09-04,-0.1034,4,9,0.0797,48.8158,0.00066,0.0000,-0.0747,152,1.1623,1.0894,0.0042,0.0476,1993-02-01,0.0378,0.0138,7.3827,0.5461,20.5886,
winners,0.0000,2013-09-04,0.0000,0.0000,83.0000,0.0797,89.3976,0.00865,0.0000,0.0000,83,inf,2.0352,0.0355,0.8510,1993-02-01,0.0205,0.0102,4.0313,1.0000,20.5886,
last_6mon,0.0000,2013-09-04,0.0000,0.0000,3.0000,0.0032,18.6667,0.00220,0.0000,0.0000,3,inf,1.0066,0.0003,2.3169,1993-02-01,0.0004,0.0009,0.1457,1.0000,20.5886,
short,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
last_18mon,0.6514,2013-09-04,-0.0023,1,4,0.0139,49.0000,0.00385,0.0000,-0.0023,8,7.7392,1.0311,0.0015,0.7383,1993-02-01,0.0033,0.0052,0.3886,0.7500,20.5886,
mon10,0.2147,2013-09-04,-0.0196,2,3,0.0797,533.0769,0.00661,0.0000,-0.0093,13,3.4302,1.0861,0.0042,0.2984,1993-02-01,0.0180,0.0221,0.6314,0.6154,20.5886,
mon11,0.0200,2013-09-04,-0.0372,2,3.0000,0.0380,631.9091,0.00145,0.0000,-0.0271,11,1.3599,1.0149,0.0007,0.0973,1993-02-01,0.0111,0.0149,0.5343,0.6364,20.5886,
mon12,0.0203,2013-09-04,-0.0273,2,4,0.0204,457.3333,0.00093,0.0000,-0.0154,12,1.2297,1.0105,0.0006,0.0868,1993-02-01,0.0085,0.0107,0.5828,0.5833,20.5886,
losers,-0.0672,2013-09-04,-0.4632,66.0000,0.0000,0.0000,108.5000,-0.00936,0.0000,-0.0747,66,0.0000,0.5353,-0.0311,-0.8175,1993-02-01,0.0209,0.0114,3.2057,0.0000,20.5886,
wkd03,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
