FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.0897,2013-09-04,-0.2182,8,11,0.0997,45.8026,0.00291,3.0329,-0.0809,152,1.3767,1.4845,0.0196,0.1085,1993-02-01,0.0675,0.0247,7.3827,0.5855,20.5886,
last_12mon,0.0028,2013-09-04,-0.0363,2,2,0.0250,38.1667,0.00056,3.1667,-0.0298,6,1.0586,1.0020,0.0001,0.0156,1993-02-01,0.0114,0.0209,0.2914,0.5000,20.5886,
mon03,-0.0238,2013-09-04,-0.0690,5,4,0.0281,440.2143,-0.00194,3.0000,-0.0401,14,0.7736,0.9707,-0.0016,-0.1149,1993-02-01,0.0166,0.0189,0.6800,0.5000,20.5886,
mon02,-0.0032,2013-09-04,-0.0565,3,2.0000,0.0386,560.4545,-0.00011,3.0000,-0.0339,11,0.9860,0.9969,-0.0002,-0.0174,1993-02-01,0.0151,0.0188,0.5343,0.4545,20.5886,
mon01,0.0423,2013-09-04,-0.0582,2,4,0.0277,391.3846,0.00343,3.0000,-0.0548,13,1.5448,1.0427,0.0025,0.1577,1993-02-01,0.0178,0.0203,0.6314,0.6923,20.5886,
mon07,0.1215,2013-09-04,-0.0392,3,4,0.0544,461.1818,0.00733,3.0000,-0.0186,11,2.5532,1.0813,0.0048,0.3538,1993-02-01,0.0164,0.0201,0.5343,0.5455,20.5886,
mon06,-0.0066,2013-09-04,-0.1000,3,5.0000,0.0402,381.4211,-0.00048,3.0000,-0.0488,19,0.9444,0.9866,-0.0007,-0.0328,1993-02-01,0.0207,0.0214,0.9228,0.5263,20.5886,
mon05,-0.0159,2013-09-04,-0.1111,2,4.0000,0.0390,474.8462,-0.00224,3.0000,-0.0583,13,0.7920,0.9665,-0.0018,-0.0908,1993-02-01,0.0223,0.0272,0.6314,0.6923,20.5886,
mon04,1.4923,2013-09-04,-0.0054,1.0000,6,0.0425,607.4167,0.01368,3.0000,-0.0054,12,12.7199,1.1756,0.0080,0.9035,1993-02-01,0.0115,0.0149,0.5828,0.7500,20.5886,
mon09,-0.0189,2013-09-04,-0.0694,2,3.0000,0.0256,545.5833,-0.00183,3.0000,-0.0453,12,0.7974,0.9758,-0.0013,-0.1006,1993-02-01,0.0163,0.0204,0.5828,0.5833,20.5886,
mon08,-0.0479,2013-09-04,-0.1234,5,2,0.0246,463.0909,-0.00952,3.0000,-0.0809,11,0.3304,0.8958,-0.0059,-0.3384,1993-02-01,0.0222,0.0288,0.5343,0.3636,20.5886,
long,0.0897,2013-09-04,-0.2182,8,11,0.0997,45.8026,0.00291,3.0329,-0.0809,152,1.3767,1.4845,0.0196,0.1085,1993-02-01,0.0675,0.0247,7.3827,0.5855,20.5886,
winners,0.0000,2013-09-04,0.0000,0.0000,89.0000,0.0997,79.7303,0.01815,3.0449,0.0000,89,inf,4.9049,0.0818,1.1175,1993-02-01,0.0336,0.0160,4.3228,1.0000,20.5886,
last_6mon,-0.0264,2013-09-04,-0.0363,2,1.0000,0.0176,16.6667,-0.00630,3.0000,-0.0298,3,0.4822,0.9807,-0.0010,-0.3371,1993-02-01,0.0074,0.0193,0.1457,0.3333,20.5886,
short,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
last_18mon,0.0653,2013-09-04,-0.0363,2,3.0000,0.0285,46.2500,0.00626,3.1250,-0.0298,8,1.8734,1.0494,0.0024,0.2899,1993-02-01,0.0130,0.0208,0.3886,0.6250,20.5886,
mon10,0.0430,2013-09-04,-0.0947,5,6.0000,0.0532,530.3077,0.00656,3.0000,-0.0579,13,1.8761,1.0834,0.0041,0.2307,1993-02-01,0.0223,0.0275,0.6314,0.6154,20.5886,
mon11,0.1672,2013-09-04,-0.0424,1,4.0000,0.0997,629.0909,0.01342,3.1818,-0.0424,11,3.1571,1.1504,0.0071,0.3733,1993-02-01,0.0263,0.0353,0.5343,0.7273,20.5886,
mon12,0.1291,2013-09-04,-0.0445,2,5,0.0656,454.3333,0.00943,3.2500,-0.0374,12,2.2989,1.1142,0.0057,0.3317,1993-02-01,0.0221,0.0277,0.5828,0.5833,20.5886,
losers,-0.0818,2013-09-04,-0.6963,62.0000,0.0000,0.0000,116.0323,-0.01893,3.0161,-0.0809,62,0.0000,0.3027,-0.0570,-1.0708,1993-02-01,0.0312,0.0179,3.0114,0.0000,20.5886,
wkd03,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
wkd02,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
wkd01,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
wkd00,0.0897,2013-09-04,-0.2182,8,11,0.0997,45.8026,0.00291,3.0329,-0.0809,152,1.3767,1.4845,0.0196,0.1085,1993-02-01,0.0675,0.0247,7.3827,0.5855,20.5886,
wkd04,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
