FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.0459,2013-09-04,-0.2491,4,6,0.0997,44.5855,0.00193,4.2566,-0.0902,152,1.1950,1.2609,0.0114,0.0568,1993-02-01,0.0779,0.0285,7.3827,0.5461,20.5886,
last_12mon,-0.0016,2013-09-04,-0.0318,1,3,0.0250,37.5000,0.00001,4.0000,-0.0318,6,1.0012,0.9990,-0.0001,-0.0150,1993-02-01,0.0103,0.0191,0.2914,0.6667,20.5886,
mon03,-0.0601,2013-09-04,-0.0790,3.0000,2,0.0297,438.2143,-0.00593,5.0714,-0.0454,14,0.4863,0.9173,-0.0047,-0.3006,1993-02-01,0.0184,0.0210,0.6800,0.3571,20.5886,
mon02,-0.0196,2013-09-04,-0.0685,2,3,0.0581,559.5455,-0.00168,4.0000,-0.0554,11,0.8587,0.9774,-0.0013,-0.0697,1993-02-01,0.0227,0.0283,0.5343,0.5455,20.5886,
mon01,0.0241,2013-09-04,-0.0898,3,8.0000,0.0355,390.4615,0.00316,4.0000,-0.0645,13,1.3700,1.0375,0.0022,0.1141,1993-02-01,0.0219,0.0251,0.6314,0.6923,20.5886,
mon07,0.0344,2013-09-04,-0.0672,3,3,0.0659,460.2727,0.00384,4.0000,-0.0408,11,1.3971,1.0387,0.0023,0.1269,1993-02-01,0.0228,0.0279,0.5343,0.5455,20.5886,
mon06,-0.0020,2013-09-04,-0.1072,4,5.0000,0.0506,380.1579,0.00010,4.3158,-0.0540,19,1.0096,0.9956,-0.0002,-0.0087,1993-02-01,0.0248,0.0257,0.9228,0.5263,20.5886,
mon05,-0.0270,2013-09-04,-0.1295,4,2.0000,0.0441,473.9231,-0.00479,4.0000,-0.0680,13,0.6452,0.9345,-0.0035,-0.1796,1993-02-01,0.0232,0.0283,0.6314,0.4615,20.5886,
mon04,0.1315,2013-09-04,-0.0460,2,4,0.0384,605.2500,0.01042,5.2500,-0.0370,12,3.5190,1.1299,0.0061,0.5165,1993-02-01,0.0150,0.0194,0.5828,0.7500,20.5886,
mon09,-0.0009,2013-09-04,-0.0554,3,3,0.0473,544.6667,0.00021,4.0000,-0.0462,12,1.0234,0.9991,-0.0000,-0.0035,1993-02-01,0.0192,0.0239,0.5828,0.4167,20.5886,
mon08,-0.0540,2013-09-04,-0.0993,1.0000,4,0.0243,462.1818,-0.00838,4.0000,-0.0822,11,0.5530,0.9049,-0.0054,-0.2422,1993-02-01,0.0276,0.0358,0.5343,0.6364,20.5886,
long,0.0459,2013-09-04,-0.2491,4,6,0.0997,44.5855,0.00193,4.2566,-0.0902,152,1.1950,1.2609,0.0114,0.0568,1993-02-01,0.0779,0.0285,7.3827,0.5461,20.5886,
winners,0.0000,2013-09-04,0.0000,0.0000,83.0000,0.0997,85.0241,0.02170,4.2530,0.0000,83,inf,5.8718,0.0909,1.2212,1993-02-01,0.0354,0.0175,4.0313,1.0000,20.5886,
last_6mon,-0.0165,2013-09-04,-0.0318,1,2.0000,0.0158,16.0000,-0.00335,4.0000,-0.0318,3,0.6834,0.9893,-0.0005,-0.1780,1993-02-01,0.0079,0.0205,0.1457,0.6667,20.5886,
short,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
last_18mon,0.0770,2013-09-04,-0.0318,1,3.0000,0.0367,45.5000,0.00646,4.0000,-0.0318,8,2.0806,1.0510,0.0024,0.2983,1993-02-01,0.0129,0.0207,0.3886,0.7500,20.5886,
mon10,0.0605,2013-09-04,-0.0756,5,3.0000,0.0535,529.3846,0.00726,4.0000,-0.0265,13,2.0887,1.0941,0.0046,0.2760,1993-02-01,0.0205,0.0252,0.6314,0.5385,20.5886,
mon11,0.0505,2013-09-04,-0.0902,2,2,0.0997,628.2727,0.00918,4.0000,-0.0902,11,1.9014,1.0942,0.0046,0.2032,1993-02-01,0.0326,0.0437,0.5343,0.5455,20.5886,
mon12,0.2248,2013-09-04,-0.0324,2,3,0.0656,453.4167,0.01182,4.2500,-0.0185,12,3.0576,1.1469,0.0073,0.4404,1993-02-01,0.0208,0.0261,0.5828,0.5833,20.5886,
losers,-0.0926,2013-09-04,-0.7848,69.0000,0.0000,0.0000,100.2899,-0.02185,4.2609,-0.0902,69,0.0000,0.2147,-0.0727,-1.1282,1993-02-01,0.0361,0.0196,3.3514,0.0000,20.5886,
wkd03,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
wkd02,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
wkd01,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
wkd00,0.0459,2013-09-04,-0.2491,4,6,0.0997,44.5855,0.00193,4.2566,-0.0902,152,1.1950,1.2609,0.0114,0.0568,1993-02-01,0.0779,0.0285,7.3827,0.5461,20.5886,
wkd04,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
