FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.0178,2013-09-04,-0.0602,7,10,0.0212,174.9024,0.00057,1.2927,-0.0176,41,1.1967,1.0223,0.0011,0.0566,1993-02-01,0.0119,0.0085,1.9914,0.5854,20.5886,
last_12mon,-0.0028,2013-09-04,-0.0089,1,2.0000,0.0045,90.0000,-0.00012,0.7500,-0.0089,4,0.9481,0.9995,-0.0000,-0.0319,1993-02-01,0.0024,0.0054,0.1943,0.5000,20.5886,
mon03,0.0000,2013-09-04,0.0000,1.0000,1,0.0039,2740.5000,-0.00098,1.0000,-0.0058,2,0.6632,0.9980,-0.0001,-0.2178,1993-02-01,0.0016,0.0048,0.0971,0.5000,20.5886,
mon02,-0.0030,2013-09-04,-0.0167,2.0000,2,0.0151,1095.0000,-0.00012,1.0000,-0.0167,6,0.9653,0.9990,-0.0001,-0.0203,1993-02-01,0.0052,0.0093,0.2914,0.5000,20.5886,
mon01,-0.0142,2013-09-04,-0.0117,1,1.0000,0.0067,1583.0000,-0.00074,1.0000,-0.0117,3,0.8100,0.9977,-0.0002,-0.1029,1993-02-01,0.0037,0.0079,0.1457,0.6667,20.5886,
mon07,0.0000,2013-09-04,0.0000,1.0000,0.0000,0.0000,0.0000,-0.01099,3.0000,-0.0110,1,0.0000,0.9890,-0.0032,0.0000,1993-02-01,0.0000,0.0000,0.0486,0.0000,20.5886,
mon06,0.0000,2013-09-04,0.0000,1.0000,3,0.0094,1550.0000,0.00261,1.0000,-0.0009,4,12.2515,1.0104,0.0005,0.6342,1993-02-01,0.0018,0.0040,0.1943,0.7500,20.5886,
mon05,0.0679,2013-09-04,-0.0125,1,2.0000,0.0173,1221.0000,0.00501,1.6667,-0.0125,3,2.1982,1.0149,0.0009,0.3837,1993-02-01,0.0053,0.0127,0.1457,0.6667,20.5886,
mon04,0.0000,2013-09-04,0.0000,0.0000,3.0000,0.0116,2070.0000,0.00930,1.6667,0.0000,3,inf,1.0281,0.0014,4.8591,1993-02-01,0.0007,0.0019,0.1457,1.0000,20.5886,
mon09,-0.7716,2013-09-04,-0.0004,2.0000,1,0.0039,1733.2500,-0.00177,0.7500,-0.0105,4,0.3549,0.9929,-0.0003,-0.3425,1993-02-01,0.0023,0.0053,0.1943,0.2500,20.5886,
mon08,-0.2157,2013-09-04,-0.0176,1,1.0000,0.0004,183.0000,-0.00858,2.0000,-0.0176,2,0.0255,0.9828,-0.0038,-0.9666,1993-02-01,0.0060,0.0090,0.0971,0.5000,20.5886,
long,0.0178,2013-09-04,-0.0602,7,10,0.0212,174.9024,0.00057,1.2927,-0.0176,41,1.1967,1.0223,0.0011,0.0566,1993-02-01,0.0119,0.0085,1.9914,0.5854,20.5886,
winners,0.0000,2013-09-04,0.0000,0.0000,24.0000,0.0212,286.2083,0.00597,1.3750,0.0000,24,inf,1.1531,0.0073,1.0583,1993-02-01,0.0061,0.0055,1.1657,1.0000,20.5886,
last_6mon,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,1,inf,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0486,0.0000,20.5886,
short,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
last_18mon,0.0595,2013-09-04,-0.0089,1,5.0000,0.0070,77.0000,0.00157,0.8571,-0.0089,7,2.2350,1.0110,0.0005,0.3135,1993-02-01,0.0028,0.0048,0.3400,0.7143,20.5886,
mon10,0.1312,2013-09-04,-0.0101,2,4,0.0212,819.3750,0.00329,1.2500,-0.0066,8,3.6059,1.0264,0.0013,0.4167,1993-02-01,0.0049,0.0077,0.3886,0.7500,20.5886,
mon11,-0.0472,2013-09-04,-0.0089,1,1.0000,0.0006,3457.5000,-0.00412,1.5000,-0.0089,2,0.0726,0.9917,-0.0004,-0.8878,1993-02-01,0.0015,0.0048,0.0971,0.5000,20.5886,
mon12,-0.0889,2013-09-04,-0.0074,2.0000,1,0.0024,973.3333,-0.00259,1.6667,-0.0074,3,0.2369,0.9922,-0.0007,-0.6782,1993-02-01,0.0020,0.0040,0.1457,0.3333,20.5886,
losers,-0.0538,2013-09-04,-0.1129,16.0000,0.0000,0.0000,425.9375,-0.00748,1.2500,-0.0176,16,0.0000,0.8866,-0.0061,-1.4175,1993-02-01,0.0048,0.0053,0.7771,0.0000,20.5886,
wkd03,-0.0063,2013-09-04,-0.0201,3,3,0.0212,526.2308,-0.00016,1.0000,-0.0125,13,0.9501,0.9975,-0.0001,-0.0281,1993-02-01,0.0067,0.0082,0.6314,0.5385,20.5886,
wkd02,0.0024,2013-09-04,-0.0233,2,4,0.0151,902.0000,0.00018,1.0000,-0.0176,8,1.0623,1.0011,0.0001,0.0123,1993-02-01,0.0055,0.0088,0.3886,0.6250,20.5886,
wkd01,0.0215,2013-09-04,-0.0191,4.0000,6,0.0103,680.9000,0.00083,1.0000,-0.0117,10,1.4172,1.0081,0.0004,0.1252,1993-02-01,0.0043,0.0060,0.4857,0.6000,20.5886,
wkd00,0.0045,2013-09-04,-0.0167,1.0000,2,0.0094,1320.5000,0.00040,1.0000,-0.0167,4,1.0926,1.0014,0.0001,0.0303,1993-02-01,0.0050,0.0106,0.1943,0.5000,20.5886,
wkd04,0.0533,2013-09-04,-0.0178,1,2,0.0173,759.3333,0.00238,3.0000,-0.0110,6,1.7793,1.0141,0.0010,0.2189,1993-02-01,0.0063,0.0099,0.2914,0.6667,20.5886,
