FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.0438,2013-09-04,-0.0690,5,14.0000,0.0334,148.7872,0.00132,3.5106,-0.0207,47,1.3987,0.0611,0.0030,0.1012,1993-02-01,0.0162,0.0105,2.2828,0.6809,20.5886,
last_12mon,0.0000,2013-09-04,0.0000,1.0000,0.0000,0.0000,0.0000,-0.01327,4.0000,-0.0133,1,0.0000,-0.0133,-0.0007,0.0000,1993-02-01,0.0000,0.0000,0.0486,0.0000,20.5886,
mon03,0.0092,2013-09-04,-0.0186,1,1.0000,0.0223,3467.0000,0.00185,3.5000,-0.0186,2,1.1986,0.0033,0.0002,0.0777,1993-02-01,0.0066,0.0205,0.0971,0.5000,20.5886,
mon02,0.0000,2013-09-04,0.0000,0.0000,2.0000,0.0121,730.0000,0.01012,3.5000,0.0000,2,inf,0.0203,0.0029,5.0665,1993-02-01,0.0010,0.0019,0.0971,1.0000,20.5886,
mon01,0.0000,2013-09-04,0.0000,0.0000,2.0000,0.0023,2921.0000,0.00157,3.5000,0.0000,2,inf,0.0032,0.0002,1.8642,1993-02-01,0.0002,0.0007,0.0971,1.0000,20.5886,
mon07,0.0000,2013-09-04,0.0000,0.0000,1.0000,0.0054,0.0000,0.00539,4.0000,0.0000,1,inf,0.0054,0.0038,0.0000,1993-02-01,0.0000,0.0000,0.0486,1.0000,20.5886,
mon06,-0.0913,2013-09-04,-0.0172,4.0000,1,0.0010,654.8000,-0.00511,4.0000,-0.0170,5,0.0359,-0.0254,-0.0016,-0.7734,1993-02-01,0.0039,0.0070,0.2429,0.2000,20.5886,
mon05,0.0000,2013-09-04,0.0000,0.0000,4.0000,0.0071,1366.2500,0.00485,3.2500,0.0000,4,inf,0.0195,0.0013,2.4014,1993-02-01,0.0010,0.0019,0.1943,1.0000,20.5886,
mon04,0.0256,2013-09-04,-0.0071,2,4,0.0055,831.1429,0.00048,3.2857,-0.0068,7,1.4715,0.0033,0.0002,0.0694,1993-02-01,0.0021,0.0034,0.3400,0.7143,20.5886,
mon09,0.0468,2013-09-04,-0.0193,1,3,0.0117,580.8000,0.00234,3.8000,-0.0193,5,1.6061,0.0114,0.0009,0.1858,1993-02-01,0.0070,0.0111,0.2429,0.8000,20.5886,
mon08,0.0396,2013-09-04,-0.0157,2,2.0000,0.0174,1092.0000,0.00197,3.6000,-0.0096,5,1.6266,0.0097,0.0006,0.1797,1993-02-01,0.0054,0.0095,0.2429,0.6000,20.5886,
long,0.0438,2013-09-04,-0.0690,5,14.0000,0.0334,148.7872,0.00132,3.5106,-0.0207,47,1.3987,0.0611,0.0030,0.1012,1993-02-01,0.0162,0.0105,2.2828,0.6809,20.5886,
winners,0.0000,2013-09-04,0.0000,0.0000,32.0000,0.0334,210.7812,0.00679,3.2500,0.0000,32,inf,0.2410,0.0115,0.9618,1993-02-01,0.0089,0.0068,1.5543,1.0000,20.5886,
last_6mon,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
short,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
last_18mon,0.0000,2013-09-04,0.0000,1.0000,0.0000,0.0000,0.0000,-0.01327,4.0000,-0.0133,1,0.0000,-0.0133,-0.0007,0.0000,1993-02-01,0.0000,0.0000,0.0486,0.0000,20.5886,
mon10,0.0718,2013-09-04,-0.0133,1,2,0.0334,1093.6000,0.00390,3.4000,-0.0133,5,1.7761,0.0189,0.0010,0.2162,1993-02-01,0.0085,0.0169,0.2429,0.6000,20.5886,
mon11,0.0000,2013-09-04,0.0000,0.0000,4.0000,0.0070,820.2500,0.00388,3.0000,0.0000,4,inf,0.0156,0.0012,1.2377,1993-02-01,0.0017,0.0030,0.1943,1.0000,20.5886,
mon12,-0.0901,2013-09-04,-0.0146,2.0000,1,0.0109,726.4000,-0.00486,3.6000,-0.0207,5,0.4343,-0.0244,-0.0013,-0.4210,1993-02-01,0.0063,0.0122,0.2429,0.4000,20.5886,
losers,-0.0570,2013-09-04,-0.1390,15.0000,0.0000,0.0000,300.4667,-0.01036,4.0667,-0.0207,15,0.0000,-0.1449,-0.0079,-1.6114,1993-02-01,0.0058,0.0066,0.7286,0.0000,20.5886,
wkd03,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
