FilterID,clamar_ratio,end_dt,max_dd,max_ndn,max_nup,max_theo,mean_btw_tr,mean_theo,mean_tr_dur,min_theo,n,prof_fact,roi,roi_ann,sharpe_ratio,start_dt,stdev_ann,stdev_theo,trades/yr,win_perc,years
all,0.0906,2013-09-04,-0.2161,8,12,0.0861,46.8224,0.00284,2.0066,-0.0986,152,1.4168,1.4848,0.0196,0.1234,1993-02-01,0.0596,0.0218,7.3827,0.5921,20.5886,
last_12mon,0.0115,2013-09-04,-0.0207,2,2,0.0207,39.1667,0.00092,2.0000,-0.0192,6,1.1383,1.0048,0.0002,0.0511,1993-02-01,0.0082,0.0151,0.2914,0.5000,20.5886,
mon03,-0.0206,2013-09-04,-0.0656,5,4,0.0289,441.1429,-0.00161,2.0000,-0.0333,14,0.7884,0.9757,-0.0014,-0.1033,1993-02-01,0.0149,0.0170,0.6800,0.5000,20.5886,
mon02,0.0310,2013-09-04,-0.0308,2,2,0.0379,561.3636,0.00165,2.0000,-0.0222,11,1.2362,1.0164,0.0010,0.0812,1993-02-01,0.0148,0.0185,0.5343,0.5455,20.5886,
mon01,0.0644,2013-09-04,-0.0395,2,4,0.0455,392.3077,0.00348,2.0000,-0.0296,13,1.6948,1.0440,0.0025,0.1877,1993-02-01,0.0155,0.0177,0.6314,0.6923,20.5886,
mon07,0.0336,2013-09-04,-0.0448,2,2.0000,0.0561,462.0909,0.00245,2.0000,-0.0179,11,1.3931,1.0250,0.0015,0.1143,1993-02-01,0.0165,0.0201,0.5343,0.5455,20.5886,
mon06,-0.0044,2013-09-04,-0.1125,7,8,0.0325,382.3684,-0.00036,2.0000,-0.0445,19,0.9532,0.9899,-0.0005,-0.0276,1993-02-01,0.0179,0.0186,0.9228,0.4737,20.5886,
mon05,0.1492,2013-09-04,-0.0288,1,4.0000,0.0336,475.7692,0.00649,2.0000,-0.0214,13,2.6924,1.0863,0.0043,0.4303,1993-02-01,0.0121,0.0147,0.6314,0.7692,20.5886,
mon04,3.8916,2013-09-04,-0.0017,1.0000,8,0.0376,608.3333,0.01127,2.0000,-0.0023,12,35.1925,1.1432,0.0066,1.0314,1993-02-01,0.0083,0.0108,0.5828,0.7500,20.5886,
mon09,-0.0272,2013-09-04,-0.0522,3,2,0.0177,546.5000,-0.00209,2.0000,-0.0337,12,0.7266,0.9738,-0.0014,-0.1425,1993-02-01,0.0126,0.0157,0.5828,0.5000,20.5886,
mon08,0.0173,2013-09-04,-0.0561,3,4,0.0429,464.0000,0.00198,2.0000,-0.0425,11,1.2019,1.0181,0.0010,0.0697,1993-02-01,0.0203,0.0264,0.5343,0.5455,20.5886,
long,0.0906,2013-09-04,-0.2161,8,12,0.0861,46.8224,0.00284,2.0066,-0.0986,152,1.4168,1.4848,0.0196,0.1234,1993-02-01,0.0596,0.0218,7.3827,0.5921,20.5886,
winners,0.0000,2013-09-04,0.0000,0.0000,90.0000,0.0861,79.8333,0.01632,2.0111,0.0000,90,inf,4.2584,0.0743,1.1685,1993-02-01,0.0292,0.0138,4.3713,1.0000,20.5886,
last_6mon,-0.0178,2013-09-04,-0.0207,2,1.0000,0.0135,17.3333,-0.00242,2.0000,-0.0156,3,0.6500,0.9925,-0.0004,-0.2133,1993-02-01,0.0046,0.0120,0.1457,0.3333,20.5886,
short,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
last_18mon,0.1152,2013-09-04,-0.0207,2,3.0000,0.0279,47.2500,0.00620,2.0000,-0.0192,8,2.2426,1.0496,0.0024,0.3729,1993-02-01,0.0102,0.0162,0.3886,0.6250,20.5886,
mon10,0.0031,2013-09-04,-0.1040,5,2.0000,0.0282,531.2308,0.00072,2.0000,-0.0410,13,1.0844,1.0063,0.0003,0.0265,1993-02-01,0.0177,0.0218,0.6314,0.4615,20.5886,
mon11,0.0259,2013-09-04,-0.0986,1,4.0000,0.0861,630.0909,0.00555,2.0000,-0.0986,11,1.4445,1.0519,0.0026,0.1254,1993-02-01,0.0321,0.0431,0.5343,0.7273,20.5886,
mon12,0.0973,2013-09-04,-0.0442,2,5,0.0374,455.4167,0.00703,2.0833,-0.0440,12,2.2065,1.0844,0.0043,0.3071,1993-02-01,0.0178,0.0224,0.5828,0.6667,20.5886,
losers,-0.0775,2013-09-04,-0.6506,61.0000,0.0000,0.0000,118.9836,-0.01700,2.0000,-0.0986,61,0.0000,0.3487,-0.0504,-1.0978,1993-02-01,0.0270,0.0156,2.9628,0.0000,20.5886,
wkd03,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
wkd02,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
wkd01,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
wkd00,0.0906,2013-09-04,-0.2161,8,12,0.0861,46.8224,0.00284,2.0066,-0.0986,152,1.4168,1.4848,0.0196,0.1234,1993-02-01,0.0596,0.0218,7.3827,0.5921,20.5886,
wkd04,0.0000,2013-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0000,0.0000,0,0.0000,1.0000,0.0000,0.0000,1993-02-01,0.0000,0.0000,0.0000,0.0000,20.5886,
