Date,state
1993-02-22 00:00:00,HH-1  :  HL-2  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-2  :  iHT-1  :  HT-4  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-6  :  sma20-consec-6  :  sma50-consec-6  :  sma200-consec-6,
1993-02-23 00:00:00,dow-1  :  OB-1  :  HH-2  :  LL-1  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-2  :  oc-dir-consec-1  :  gap-filled-3  :  iLT-1  :  iHT-2  :  LT-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-7  :  sma20-consec-7  :  sma50-consec-7  :  sma200-consec-7,
1993-02-24 00:00:00,dow-2  :  HH-3  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-3  :  oc-dir-consec-1  :  gap-filled-1  :  iHT-5  :  HT-6  :  sma10-1  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-1  :  sma20-consec-8  :  sma50-consec-8  :  sma200-consec-8,
1993-02-25 00:00:00,dow-3  :  HH-4  :  HL-2  :  cc-dir-1  :  co-dir-2  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-2  :  iHT-6  :  HT-7  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-2  :  sma20-consec-1  :  sma50-consec-1  :  sma200-consec-1,
1993-02-26 00:00:00,dow-4  :  HH-5  :  HL-3  :  cc-dir-1  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-3  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-3  :  iHT-7  :  HT-8  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-3  :  sma20-consec-2  :  sma50-consec-2  :  sma200-consec-2,
1993-03-01 00:00:00,HH-6  :  HL-4  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-2  :  oc-dir-consec-2  :  gap-filled-4  :  iHT-9  :  LT-2  :  sma10-1  :  sma20-2  :  sma50-1  :  sma200-1  :  sma10-consec-4  :  sma20-consec-1  :  sma50-consec-3  :  sma200-consec-3,
1993-03-02 00:00:00,dow-1  :  HH-7  :  HL-5  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-3  :  oc-dir-consec-1  :  gap-filled-5  :  iHT-11  :  HT-11  :  H10-1  :  iH10-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-5  :  sma20-consec-1  :  sma50-consec-4  :  sma200-consec-4,
1993-03-03 00:00:00,dow-2  :  HH-8  :  HL-6  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-4  :  oc-dir-consec-2  :  gap-filled-6  :  iHT-22  :  HT-22  :  H10-1  :  H20-1  :  H50-1  :  iH10-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-6  :  sma20-consec-2  :  sma50-consec-5  :  sma200-consec-5,
1993-03-04 00:00:00,dow-3  :  OB-1  :  HH-9  :  LL-1  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-5  :  oc-dir-consec-1  :  gap-filled-7  :  iLT-1  :  iHT-23  :  LT-2  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-7  :  sma20-consec-3  :  sma50-consec-6  :  sma200-consec-6,
1993-03-05 00:00:00,dow-4  :  LH-1  :  LL-2  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-2  :  co-dir-consec-6  :  oc-dir-consec-2  :  gap-filled-8  :  iLT-2  :  LT-3  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-8  :  sma20-consec-4  :  sma50-consec-7  :  sma200-consec-7,
